Study,Title,Organism,Project Type,Description,Factors,Assays,Mission,Experiment Platform,DOI
OSD-12,Transcription profiling of S. cerevisiae cultures grown under low shear-modeled microgravity,Saccharomyces cerevisiae,Ground Study,"The goal of this study was to assess whether low shear-modeled microgravity (LSMMG) effects yeast ,genomic expression patterns using the powerful tool of whole genome microarray hybridization. We determined ,changes in the yeast model organism, Saccharomyces cerevisisae, when grown in LSMMG using the rotating High ,Aspect Ratio Vessel (HARV). A significant number of genes were up- or down-regulated by at least two fold in cells ,that were grown for 5 generations or 25 generations in HARVs. We identified genes in cell wall integrity signaling ,pathways containing MAP kinase cascades that may provide clues to novel physiological responses of eukaryotic ,cells to the external stress of a low-shear modeled microgravity environment. A comparison of the microgravity ,response to other environmental stress response (ESR) genes showed that 26% of the genes that respond ,significantly to LSMMG are involved in a general environmental stress response, while 74% of the genes may ,represent a unique transcriptional response to microgravity. In addition, we found changes in genes involved in ,budding, cell polarity establishment, and cell separation that confirm our hypothesis that exposure to LSMMG ,causes changes in gene transcription resulting in a phenotypic response. The results of the study provide interesting ,clues to potential mechanisms involved in the response to, adaptation to, and survival of eukaryotic cells in a ,microgravity environment and our findings may have important health implications for human spaceflight. Experiment Overall Design: Four conditions are compared with three replicates each: yeast grown in low-shear modeled microgravity (HARV bioreactor) for 5 and 25 generations; yeast grown in a horizontal (non-LSMMG) HARV bioreactor for 5 and 25 generations.","environmentalstress
generation",transcription profiling,,,10.25966/1h2w-gx52
OSD-13,T Cell Activation in Microgravity Compared to 1g (Earth's) Gravity,Homo sapiens,Spaceflight Study,"This study tested the hypothesis that transcription of immediate early genes is inhibited in T cells activated in microgravity (uG). Immunosuppression during spaceflight is a major barrier to safe long-term human space habitation and travel. The goals of these experiments were to prove that uG was the cause of impaired T cell activation during spaceflight as well as understand the mechanisms controlling early T cell activation. T cells from 4 human donors were stimulated with concanavalin A (ConA) and anti-CD28 onboard the International Space Station (ISS). An onboard centrifuge was used to generate a 1g simultaneous control to isolate the effects of uG from other variables of spaceflight. Microarray expression analysis after 1.5 hours of activation demonstrated that mg- and 1g-activated T cells had distinct patterns of global gene expression and identified 47 genes that were significantly differentially down-regulated in uG. Importantly, several key immediate early genes were inhibited in uG. T cells were isolated from human volunteers. T cells from each donor were kept separate and loaded into individual chambers in separate cassettes for the following treatments: uG non-activated, uG activated, and 1g activated. Therefore, samples represent biological triplicates. Experimental units were launched into space and placed into the KUBIK facility onboard the International Space Station. The 1g units were placed in the central centrifuge positions and centrifuged with an applied 1g force. The uG units were place in the static positions for continued uG exposure. After 30 minutes of pre-incubation, uG non-activated units were fixed by addition of RNALater (QIAGEN, Valencia, CA), removed from the incubator, and stored in 4°C. The uG and 1g activated units were injected with final concentration 10mg/ml Con A and 4mg/ml anti-CD28. These cassettes were replaced into KUBIK on either the centrifuge or static positions and activated for 1.5 hours. Activation was stopped with the addition of RNALater and the units were then moved to 4°C storage. All units were returned to Earth for analysis.","Treatment
Microgravity Simulation
Spaceflight",transcription profiling,Expedition 14,Kubik Incubator,10.26030/4an8-r968
OSD-14,Response of Pseudomonas aeruginosa PAO1 to low shear modeled microgravity,Pseudomonas aeruginosa,Ground Study,"Anticipating the risk for infectious disease during space exploration and habitation is a critical factor to ensure safety, health and performance of the crewmembers. As a ubiquitous environmental organism that is occasionally part of the human flora, Pseudomonas aeruginosa could pose a health hazard for the immuno-compromised astronauts. In order to gain insights in the behavior of P. aeruginosa in spaceflight conditions, two spaceflight-analogue culture systems, i.e. the rotating wall vessel (RWV) and the random position machine (RPM), were used. Microarray analysis of P. aeruginosa PAO1 grown in the low shear modeled microgravity (LSMMG) environment of the RWV compared to the normal gravity control (NG), revealed a regulatory role for AlgU (RpoE). Specifically, P. aeruginosa cultured in LSMMG exhibited increased alginate production and up-regulation of AlgU-controlled transcripts, including those encoding stress-related proteins. This study also shows the involvement of Hfq in the LSMMG response, consistent with its previously identified role in the Salmonella LSMMG- and spaceflight response. Furthermore, cultivation in LSMMG increased heat and oxidative stress resistance and caused a decrease in the culture oxygen transfer rate. Interestingly, the global transcriptional response of P. aeruginosa grown in the RPM was similar to that in NG. The possible role of differences in fluid mixing between the RWV and RPM is discussed, with the overall collective data favoring the RWV as the optimal model to study the LSMMG-response of suspended cells. This study represents a first step towards the identification of specific virulence mechanisms of P. aeruginosa activated in response to spaceflight-analogue conditions, and could direct future research regarding the risk assessment and prevention of Pseudomonas infections for the crew in flight and the general public.",Microgravity Simulation,transcription profiling,,,10.25966/950f-7258
OSD-15,Transcriptional and proteomic response of Pseudomonas aeruginosa PAO1 to spaceflight conditions involves Hfq regulation and reveals a role for oxygen,Pseudomonas aeruginosa,Spaceflight Study,"This study describes the transcriptional response of P. aeruginosa PAO1 to low-Earth orbit environmental conditions. Our aim was to assess whether the microgravity environment of spaceflight could induce virulence traits in P. aeruginosa. To this end, P. aeruginosa cultures were grown in space, and the expression profile was compared with ground control samples (both in biological triplicate). Characterization of bacterial behavior in the microgravity environment of spaceflight is of importance towards risk assessment and prevention of infectious disease during long-term missions. Further, this research field unveils new insights into connections between low fluid-shear regions encountered by pathogens during their natural infection process in vivo, and bacterial virulence. This study is the first to characterize the global transcriptomic and proteomic response of an opportunistic pathogen that is actually found in the space habitat, Pseudomonas aeruginosa. Overall, P. aeruginosa responded to spaceflight conditions through differential regulation of 167 genes and 28 proteins, with Hfq identified as a global transcriptional regulator in the response to this environment. Since Hfq was also induced in spaceflight-grown Salmonella typhimurium, Hfq represents the first spaceflight-induced regulator across the bacterial species border. The major P. aeruginosa virulence-related genes induced in spaceflight conditions were the lecA and lecB lectins and the rhamnosyltransferase (rhlA), involved in the production of rhamnolipids. The transcriptional response of spaceflight-grown P. aeruginosa was compared with our previous data of this organism grown in microgravity-analogue conditions using the rotating wall vessel (RWV) bioreactor technology. Interesting similarities were observed, among others with regard to Hfq regulation and oxygen utilization. While LSMMG-grown P. aeruginosa mainly induced genes involved in microaerophilic metabolism, P. aeruginosa cultured in spaceflight adopted an anaerobic mode of growth, in which denitrification was presumably most prominent. Differences in hardware between spaceflight and LSMMG experiments, in combination with more pronounced low fluid shear and mixing in spaceflight when compared to LSMMG conditions, were hypothesized to be at the origin of these observations. Collectively, our data suggest that spaceflight conditions could induce the transition of P. aeruginosa from an opportunistic organism to potential pathogen, results that are of importance for infectious disease risk assessment and prevention, both during spaceflight missions and in the clinic.","Spaceflight
Cosmic Radiation",transcription profiling,STS-115,"Shuttle Life Sciences Research (Middeck), Group Activation Packs (GAPS)",10.25966/d9a4-hv36
OSD-16,Spaceflight adaptation requires organ specific alterations in the proteomes of Arabidopsis,Arabidopsis thaliana,Flight,"Life in spaceflight demonstrates remarkable adaptive processes within the specialized environments of space vehicles which are subject to the myriad of attending and unique environmental issues associated with orbital trajectories. To examine the adaptive processes that occur in plants in space, leaves and roots from Arabidopsis seedlings that were grown from seed for 12 days on the International Space Station and preserved on orbit in RNAlater were returned to earth and analyzed using iTRAQ broad scale proteomics procedures.","spaceflight
organism part
gravity",protein expression profiling,STS-129,Advanced Biological Research System (ABRS),10.25966/scd9-gb35
OSD-17,Transcription profiling by array of the response of Arabidopsis cultivar Columbia etiolated seedlings and undifferentiated tissue culture cells to the spaceflight environment,Arabidopsis thaliana,Spaceflight Study,"We address a key baseline question of whether gene expression changes are induced by the orbital environment, and then we ask whether undifferentiated cells, cells presumably lacking the typical gravity response mechanisms, perceive spaceflight. Arabidopsis seedlings and undifferentiated cultured Arabidopsis cells were launched in April, 2010, as part of the BRIC-16 flight experiment on STS-131. Biologically replicated DNA microarray and averaged RNA digital transcript profiling revealed several hundred genes in seedlings and cell cultures that were significantly affected by launch and spaceflight. The response was moderate in seedlings; only a few genes were induced by more than 7-fold, and the overall intrinsic expression level for most differentially expressed genes was low. In contrast, cell cultures displayed a more dramatic response, with dozens of genes showing this level of differential expression, a list comprised primarily of heat shock-related and stress-related genes. This baseline transcriptome profiling of seedlings and cultured cells confirms the fundamental hypothesis that survival of the spaceflight environment requires adaptive changes that are both governed and displayed by alterations in gene expression. The comparison of intact plants with cultures of undifferentiated cells confirms a second hypothesis: undifferentiated cells can detect spaceflight in the absence of specialized tissue or organized developmental structures known to detect gravity.","Spaceflight
Organism Part
Cosmic Radiation",transcription profiling,STS-131,Biological Research in Canisters (BRIC),10.25966/f9ht-kz53
OSD-18,Microarray Profile of Gene Expression during Osteoclast Differentiation in Modeled Microgravity,Mus musculus,Ground Study,"Microgravity leads to a 10-15% loss of bone mass in astronauts during space flight. Osteoclast is the multinucleated bone resorbing cell. In this study, we used NASA developed ground based Rotary Wall Vessel Bioreactor (RWV), Rotary Cell Culture System (RCCS) to simulate microgravity (uXg) conditions and demonstrated a significant increase (2-fold) in osteoclastogenesis compared to ground based control (Xg) mouse bone marrow cultures. We further determined the gene expression profiling of RAW 264.7 osteoclast progenitor cells in microgravity by agilent microarray analysis. Gene expression pattern was functional group clustered by transcriptome analysis using gene ontology tree machine (GOTM) for cell proliferation/survival, differentiation and function. We confirm the microgravity modulated gene expression critical for osteoclast differentiation by real-time RT-PCR and Western blot analysis in murine bone marrow cultures. We identify transcription factors such as c-Jun, c-Fos, PU-1 critical for osteoclast differentiation is up-regulated in microgravity conditions. In addition, microgravity resulted in 2.3 and 2.0-fold increase in the level of cathepsin K and MMP-9 matrix metalloproteinase expression in preosteoclast cells involved in the bone resorption process respectively. We also demonstrate a significant increase in the expression levels of M-CSF receptor, c-Fms and PLCy2 and S100A8 molecules that play an important role in Ca2+ signaling essential for osteoclast function. Further, microgravity stimulated preosteoclast cells showed elevated cytosolic Ca2+ levels compared to ground based control cells. Thus, microgravity regulated gene expression profiling in preosteoclast cells provide new insights in to molecular mechanisms and therapeutic targets of osteoclast differentiation/activation responsible for bone loss and fracture risk in astronauts during space flight mission. Microgravity associated with space flight is a challenge for normal bone homeostasis. Astronauts experience 10-15% bone loss during a space flight mission. We aimed to determine the effect of simulated microgravity on osteoclast preosteoclasts cells. RAW264.7 cells (1.5 x 106 /ml) were loaded in RCCS with DMEM containing 10% FBS for 24 h. The cells were stimulated with RANKL (80ng/ml) for 24 h to obtain preosteoclasts in parallel with ground based control cells. Total RNA was isolated using RNAzol reagent (Biotecx Labs, Houston, TX) from control (Xg) and microgravity (uXg) subjected cells and hybridized with Agilent whole mouse genome 4x44K array system. Slides were washed and scanned on an Agilent G2565 microarray scanner. Data obtained were analyzed with Agilent feature extraction and GeneSpring GX v7.3.1 software packages (Genus biosystem, Inc. Northbrook, IL, USA).",treatment group,transcription profiling,,,10.25966/j6hy-d340
OSD-19,Transcription profiling of rat to study the effect of hindlimb unloading on healing of medial collateral ligaments 3 weeks after injury,Rattus norvegicus,Ground Study,"A recent physiological study established that hindlimb unloading of rats at 3 and 7 weeks inhibits healing of injured ligaments, resulting in a badly aligned, discontinuous collagen matrix. Using tissue from these rats, we focused on the 3-week time point employing microarray analysis to identify what cellular processes or lack of processes could account for these observed deficiencies. We used the Affymetrix RG_U34A GeneChip and performed image analysis with Microarray Suite 5.0. For normalization we used the MAS global normalization protocol with a default target mean signal of 500. Gene expression in medial collateral ligament tissue under 4 different treatment conditions was measured: loaded control, loaded wound healing, unloaded control, and unloaded wound healing. From our results, it appears that unloaded tissue lags behind loaded tissue in its progression through the healing process and at 3 weeks is still engaged in the proliferative phase, whereas loaded tissue is actively remodeling its collagen matrix.","Hindlimb Unloading
Treatment",transcription profiling,,,10.25966/9v8x-ch17
OSD-20,Candida albicans response to spaceflight (NASA STS-115),Candida albicans,Spaceflight,"This study presents the first global transcriptional profiling and phenotypic characterization of the major human opportunistic fungal pathogen, Candida albicans, grown in spaceflight conditions. Microarray analysis revealed that C. albicans subjected to short-term spaceflight culture differentially regulated 454 genes compared to synchronous ground controls, which represented 8.4% of the analyzed ORFs. Spaceflight-cultured C. albicans induced genes involved in cell aggregation (similar to flocculation), which was validated by microscopic and flow cytometry analysis. We also observed enhanced random budding of spaceflight-cultured cells as opposed to more normal bipolar budding patterns for ground samples, in accordance with the gene expression data. Furthermore, genes involved in antifungal agent and stress resistance were differentially regulated in spaceflight, including induction of ABC transporters and members of the major facilitator family, downregulation of ergosterol-encoding genes, and upregulation of genes involved in oxidative stress resistance. Finally, downregulation of genes involved in the actin cytoskeleton was observed. Interestingly, the transcriptional regulator Cap1 and over 30% of the Cap1 regulon was differentially expressed in spaceflight-cultured C. albicans. A potential role for Cap1 in the spaceflight response of C. albicans is suggested, as this regulator is involved in random budding, cell aggregation, actin cytoskeleton, and oxidative stress resistance; all related to observed spaceflight-associated changes of C. albicans. While culture of C. albicans in microgravity potentiates a global change in gene expression that could induce a virulence-related phenotype, no increased virulence in a murine intraperitoneal (i.p.) infection model was observed. This study represents an important basis for the assessment of the risk that commensal flora could play during spaceflight missions. Furthermore, since the low fluid-shear environment of microgravity is relevant to physical forces encountered by pathogens during the infection process, insights gained from this study could identify novel infectious disease mechanisms, with downstream benefits for the general public. Cells were grown for 24 hours on the space shuttle or as ground-based controls, preserved in RNALater, and stored at -80C. Four samples of each flight- and ground-based controls were harvested for microarray analysis. GAP is Group Activation Pack and each GAP contains 8 FPAs. The numbers represent the # assigned to the particular GAP and the number assigned to the specific FPA (1-8) within the indicated GAP. The same hardware is used for the flight samples and the ground samples.","Microgravity
absorbed radiation dose",transcription profiling,STS-115,Fluid Processing Apparatus (FPA),10.26030/krjw-3778
OSD-21,Effects of spaceflight on murine skeletal muscle gene expression,Mus musculus,Spaceflight,"Spaceflight results in a number of adaptations to skeletal muscle, including atrophy and shifts towards faster muscle fiber types. To identify changes in gene expression that may underlie these adaptations, microarray expression analysis was performed on gastrocnemius from mice flown on the STS-108 shuttle flight (11 days, 19 hours) versus mice maintained on earth for the same period. Additionally, to identify changes that were due to unloading and reloading, microarray analyses were conducted on calf muscle from ground-based mice subjected to hindlimb suspension (12 days) and mice subjected to hindlimb suspension plus a brief period of reloading (3.5 hours) to simulate the time between landing and sacrifice of the spaceflight mice.","Spaceflight
Cosmic Radiation",transcription profiling,STS-108,Commercial Biomedical Testing Module (CBTM),10.25966/c36b-3g68
OSD-22,Root transcriptome remodeling of Arabidopsis in response to high levels of magnesium sulfate,Arabidopsis thaliana,Ground Study,"Martian regolith (unconsolidated surface material) is a potential medium for plant growth in bioregenerative life support systems during manned missions on Mars. However, hydrated magnesium sulfate mineral levels in the regolith of Mars can reach as high as 10 wt%, and would be expected to be highly inhibitory to plant growth. A global approach was used to identify novel genes with potential to enhance tolerance to high MgSO4 stress. The early Arabidopsis root transcriptome response to elevated concentrations of magnesium sulfate was characterized in col-0, and also between col-0 and the mutant line cax1-1 – a mutant relatively tolerant of high levels of MgSO4•7H2O in soil solution.","soil environment exposure
Time
Genotype",transcription profiling,,,10.25966/yr5e-ye67
OSD-25,STS-135 Liver Transcriptomics,Mus musculus,Spaceflight Study,Mice were flown onboard STS-135 and returned to Earth for analysis. Livers were collected within 3-4 hours of landing and snap frozen in liquid nitrogen. Samples were shipped to UCI Genomics High Throughput Facility for analysis.,"Spaceflight
Cosmic Radiation",transcription profiling,STS-135,Animal Enclosure Module (AEM),10.25966/kzxa-s692
OSD-26,Microbiomes of the Dust Particles Collected from the International Space Station and Spacecraft Assembly Facilities,cellular organisms,Spaceflight Study,"The safety of the International Space Station (ISS) crewmembers and maintenance of ISS hardware are the primary rationale for monitoring microorganisms in this closed habitat. The composition of the microbial community of this built environment is unique due to microgravity, space radiation, and elevated carbon dioxide levels. As built environments are known to have their own microbiomes, next-generation sequencing methods have to be utilized to explore the ISS microbial profile, and use this data for further development of safety and maintenance practices. ISS vacuum cleaner bag components (surface) and vacuum cleaner bag components of two cleanrooms at Jet Propulsion Laboratory (JPL, Pasadena, CA) were examined. 16S rRNA gene and ITS sequencing based on the 454 platform was used to elucidate the ISS microbial diversity and explore differences between the microbiomes of the ISS and Earth-based cleanrooms.","Sample Location
Spaceflight",metagenome profiling,Expedition 24,,10.25966/1qrv-0589
OSD-27,Transcription profiling of Drosophila exposed to a levitation magnet for different lengths of time,Drosophila melanogaster,Ground Study,Drosophila samples were exposed to the levitation magnet inside a 25mm diameter tubes with 3 ml of yeast-based Drosophila food in the bottom and a chamber of only 5 mm of height over the food. This small region is needed in order to guarantee that all the flies were located in the effective g area so a maximum of 35 to 40 imagos or pupa can be exposed to each condition per experiment. All experiments were carried out with a parallel 1g external control in a temperature regulated incubator outside the magnet. Three experiments of different duration were performed inside the magnet system to analyze the effect of strong magnetic fields and magnetic levitation during different stages of the Drosophila development,"Time
Sex
Temperature
Altered Gravity Simulator",transcription profiling,,,10.25966/yrtm-xr04
OSD-28,"Bacillus subtilis spores, PROTECT experiment, Space-exposed and Mars-exposed vs. Earth-control",Bacillus subtilis,Spaceflight Study,"Because of their ubiquity and resistance to spacecraft decontamination, bacterial spores are considered likely potential forward contaminants on robotic missions to Mars. Thus it is important to understand their global responses to long-term exposure to space or Mars environments. As part of the PROTECT experiment, spores of B. subtilis 168 were exposed to real space conditions and to simulated martian conditions for 559 days in low Earth orbit mounted on the EXPOSE-E exposure platform outside the European Columbus module on the International Space Station. Upon return, spores were germinated, total RNA extracted and fluorescently labeled, and used to probe a custom Bacillus subtilis microarray to identify genes preferentially activated or repressed relative to ground control spores. Increased transcript levels were detected for a number of stress-related regulons responding to DNA damage (SOS response, SP-beta prophage induction), protein damage (CtsR/Clp system), oxidative stress (PerR regulon) and cell envelope stress (SigV regulon). Spores exposed to space demonstrated a much broader and more severe stress response than spores exposed to simulated Mars conditions. The results are discussed in the context of planetary protection for a hypothetical journey of potential forward contaminant spores from Earth to Mars and their subsequent residence on Mars. Two-color microarrays were performed comparing germination of Space-exposed or Mars-exposed vs. ground-control (Earth) spores.","environment exposure
gravitation",transcription profiling,"STS-122, STS-128",EXPOSE-E,10.25966/msa9-1p46
OSD-29,Genechip analysis of bone marrow osteoprogenitors exposed to microgravity,Mus musculus,Spaceflight Study,"In March 2006, murine Bone Marrow Stromal Cells (BMSC) were flown in the Soyuz 12S to the International Space Station to investigate the effects of microgravity on their osteogenic potential in a three-dimensional environment. BMSC were grown in porous bioceramic Skelite disks (dia 9 mm x T 1.2 mm). The constructs were exposed to microgravity for ca. 8 days, then fixed for RNA extraction. While the flight experiment was performed in fully automated hardware inside the KUBIK incubator, one group of control samples were incubated inside manually operated hardwares (flight control), and the other control group was incubated under routine laboratory conditions (lab control). The altered gene expression profile was analyzed by Mouse Gene 1.0 ST array (Affymetrix) representing whole-transcript coverage. Each one of the 28853 genes is represented on the array by approximately 26 probes spread across the full length of the gene, providing a more complete and more accurate picture of gene expression than the 3' based expression array design. A few days of microgravity were sufficient to determinate, at least at the molecular level, an effect in the BMSC; this response expressed a stress condition able to determinate consequences on several compartments and cellular functions. In particular, it seems to promote a gene expression, known to be associated with neurogenic activity (e.g. axon guidance), perhaps promoting the BMSC capability to be committed in that direction. The osteo-induction, by dexamethasone-based medium, due to the short duration of stimulation, did not have the possibility to manifest itself at the phenotypic level but only partially at the molecular level.","Spaceflight
Treatment
Altered Gravity",transcription profiling,Expedition 13,KUBIK,10.25966/6rr8-r017
